TEAM,MATCH UP,GAME DATE,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
BOS,BOS vs. MIA,12/20/17,L,48,97.8,98.9,-1.1,60,1.8,15.3,17.3,78.4,47.6,11,45.6,49.9,91,46.5
BOS,BOS @ IND,12/18/17,W,48,115.5,112.1,3.3,59.1,1.3,19.8,20.5,69.6,47.1,20.6,65.8,65.8,98,48.9
BOS,BOS @ MEM,12/16/17,W,48,117.2,103.3,13.9,53.8,1.24,17.1,34.9,68.8,52.7,19.5,57.5,59.2,88.5,54.6
BOS,BOS vs. UTA,12/15/17,L,48,96.9,109.2,-12.2,57.1,2.22,16.1,13.2,77.3,42.3,9.2,45.9,50.3,98,43.2
BOS,BOS vs. DEN,12/13/17,W,48,125.3,119.2,6.1,61.7,2.07,21.6,17.1,58,41.2,14.1,66.5,69.2,99,55.5
BOS,BOS @ CHI,12/11/17,L,48,90.4,116.1,-25.7,66.7,1.38,17.2,26.9,77.8,50.5,17,45.8,47.7,93.5,36.2
BOS,BOS @ DET,12/10/17,W,48,100,90,10,48.5,1.14,13.6,25.5,74.1,52.4,15.4,48.7,52.3,90.5,56.7
BOS,BOS @ SAS,12/8/17,L,48,110.9,111.7,-0.8,36.8,1,11.9,26.1,65.1,44.9,15.2,52.4,56.4,93,44.7
BOS,BOS vs. DAL,12/6/17,W,48,97,90.9,6.1,69.4,2.08,18.5,21.2,85.2,53.8,12,48.3,51.3,99.5,55.2
BOS,BOS vs. MIL,12/4/17,W,48,119.4,107.5,11.8,58.1,1.67,19.5,27.8,84.8,59.8,16.1,61.5,64.3,93,58.6
BOS,BOS vs. PHX,12/2/17,W,48,123.4,118.1,5.3,76.2,3.56,24.1,17.1,54.5,38.5,9.6,61.3,64.4,94,55.7
BOS,BOS vs. PHI,11/30/17,W,48,114.9,102.1,12.8,62.5,1.47,19.4,24.4,64.2,46.8,18.1,58.2,61.5,94.5,57.8
BOS,BOS vs. DET,11/27/17,L,48,112.5,122.9,-10.4,67.5,1.59,20.6,19.5,78.6,49.4,17.7,62.3,62.6,96,42.5
BOS,BOS @ IND,11/25/17,W,48,114.9,104.3,10.6,48.9,1.47,18,17.1,67.5,44,16,62.5,64.3,94,54.7
BOS,BOS vs. ORL,11/24/17,W,48,121.6,107.3,14.4,64.3,3,19.1,31.5,62.5,47.3,9.3,55.5,57.8,96.5,56
BOS,BOS @ MIA,11/22/17,L,48,101,105.1,-4,54.3,1.73,14.8,22.2,78.6,46.9,11.3,47,51.1,98,45.3
BOS,BOS @ DAL,11/20/17,W,53,99.1,94.4,4.7,63.2,1.41,16.9,14.3,86.4,53.7,15.3,53,57.6,99.17,57.3
BOS,BOS @ ATL,11/18/17,W,48,117,105.3,11.7,53.8,1.4,16.5,28.9,79.1,53.4,16,57.3,60.6,94,53.1
BOS,BOS vs. GSW,11/16/17,W,48,90.2,86.3,3.9,57.7,1,11.5,25,87.3,55.9,14.7,37.3,48.1,102,51.8
BOS,BOS @ BKN,11/14/17,W,48,106.9,101,5.9,38.5,1.07,11.5,28.6,82.4,56,13.7,50.6,55.7,101.5,55.7
BOS,BOS vs. TOR,11/12/17,W,48,103.3,101.1,2.2,68.6,1.6,17.8,37.7,82.1,56.5,16.3,46,49.8,92.5,49.5
BOS,BOS vs. CHA,11/10/17,W,48,93.8,89.7,4.1,50,1.15,12.2,23.2,73.2,48.2,13.5,41.1,47.4,96.5,50
BOS,BOS vs. LAL,11/8/17,W,48,104.9,94.1,10.8,52.6,1.43,13.7,39.1,74,54.4,13.7,42.3,47.9,102,55.4
BOS,BOS @ ATL,11/6/17,W,48,114.6,110.3,4.3,71.8,2,21.1,27.3,80,53.9,14.6,56.8,60.7,96.5,51.9
